Item_ID,Name,Base_price,Category
1,Classic Milk Tea,5.5,drink-milktea
2,Taro Milk Tea,6,drink-milktea
3,Honeydew Milk Tea,6,drink-milktea
4,Thai Milk Tea,5.75,drink-milktea
5,Brown Sugar Milk Tea,6.5,drink-milktea
6,Matcha Milk Tea,6.25,drink-milktea
7,Coffee Milk Tea,6,drink-milktea
8,Strawberry Milk Tea,6.25,drink-milktea
9,Passion Fruit Green Tea,5.75,drink-fruittea
10,Mango Green Tea,5.75,drink-fruittea
11,Lychee Green Tea,5.75,drink-fruittea
12,Strawberry Green Tea,5.75,drink-fruittea
13,Wintermelon Tea,5.5,drink-fruittea
14,Taro Smoothie,6.75,drink-blended
15,Mango Smoothie,6.75,drink-blended
16,Strawberry Smoothie,6.75,drink-blended
17,Matcha Smoothie,7,drink-blended
18,Coffee Smoothie,7,drink-blended
19,Honeydew Smoothie,6.75,drink-blended
20,Tapioca Pearls (Boba),0.75,customization
21,Crystal Boba,0.75,customization
22,Popping Boba,0.75,customization
23,Lychee Jelly,0.75,customization
24,Extra Ice,0,customization
25,Less Ice,0,customization
26,No Ice,0,customization
27,Extra Sugar,0,customization
28,Low Sugar,0,customization
29,No Sugar,0,customization
30,Oat Milk,0,customization
31,Almond Milk,0,customization
32,Whole Milk,0,customization
33,Regular Ice,0,customization
34,Regular Sugar,0,customization